01:09:26.040 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Enter the Productname in the input field****
01:09:26.556 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click the SearchIcon Button****
01:09:27.466 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click the Search Image on the Showing Display****
01:09:27.589 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click on the Main Bigger sized Thumbnail image****
01:09:27.732 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Validating the Previous and Next Buttons****
01:09:27.770 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Validate the Products count****
01:09:27.876 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click the Previous Button in the Light Box View****
01:09:27.901 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Validate the Products Navigation Based On Products count****
01:09:28.005 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click the Next Button in the Light Box View****
01:09:28.026 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Validate the Products Navigation Based On Products count****
01:09:28.126 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click the Close Button in the Light Box View****
01:09:28.208 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click on the First Small Thumbnail Image****
01:09:28.234 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Again Validate the Products Navigation Based On Products count****
01:09:28.326 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click the Previous Button in the Light Box View****
01:09:28.347 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Again Validate the Products Navigation Based On Products count****
01:09:28.438 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click the Next Button in the Light Box View****
01:09:28.457 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Again Validate the Products Navigation Based On Products count****
01:09:28.547 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click the Close Button in the Light Box View****
01:09:28.626 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click on the Second Small Thumbnail Image****
01:09:28.648 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Again Validate the Products Navigation Based On Products count****
01:09:28.733 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click the Previous Button in the Light Box View****
01:09:28.754 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Again Validate the Products Navigation Based On Products count****
01:09:28.844 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click the Next Button in the Light Box View****
01:09:28.866 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Again Validate the Products Navigation Based On Products count****
01:09:28.964 [main] INFO  testCases.TC012_ValidateThumbnailImages - ****Click the Close Button in the Light Box View****
